stim_on_time_ms,stim_off_time_ms,stim_on_delay_ms,stimulus_size_degrees,fixation_window_size_degrees,fixation_point_size_degrees,stim_id,stim_current,stimulus_presented,fixation_correct,stimulus_order_in_trial,samp_on_us,photodiode_on_us
100.0,100.0,300.0,8,2,0.2,d-016,32,1,1,1,23577600,23588400
100.0,100.0,300.0,8,2,0.2,d-018,24,2,1,2,23912500,23908300
100.0,100.0,300.0,8,2,0.2,d-000,48,3,1,3,24245200,24230300
100.0,100.0,300.0,8,2,0.2,a-031,24,4,1,4,24579100,24579950
100.0,100.0,300.0,8,2,0.2,d-008,8,5,1,5,24913500,24901000
100.0,100.0,300.0,8,2,0.2,d-010,4,6,1,6,25246250,25253850
100.0,100.0,300.0,8,2,0.2,d-005,24,7,1,7,25588000,25603400
100.0,100.0,300.0,8,2,0.2,a-000,24,8,1,8,25932150,25924350
100.0,100.0,300.0,8,2,0.2,a-016,32,9,1,1,33587200,33563550
100.0,100.0,300.0,8,2,0.2,a-028,16,10,1,2,33920650,33915400
100.0,100.0,300.0,8,2,0.2,a-022,40,11,1,3,34240900,34239150
100.0,100.0,300.0,8,2,0.2,d-025,32,12,1,4,34574100,34560950
100.0,100.0,300.0,8,2,0.2,b-000,16,13,1,5,34907150,34908400
100.0,100.0,300.0,8,2,0.2,b-031,32,14,1,6,35240950,35235250
100.0,100.0,300.0,8,2,0.2,a-024,24,15,1,7,35573900,35585250
100.0,100.0,300.0,8,2,0.2,d-010,8,16,1,8,35908150,35909100
100.0,100.0,300.0,8,2,0.2,a-000,48,17,1,1,45581000,45577500
100.0,100.0,300.0,8,2,0.2,a-016,8,18,1,2,45912600,45899900
100.0,100.0,300.0,8,2,0.2,d-016,40,19,1,3,46247800,46249550
100.0,100.0,300.0,8,2,0.2,a-022,24,20,1,4,46581700,46578100
100.0,100.0,300.0,8,2,0.2,d-025,24,21,1,5,46913950,46921250
100.0,100.0,300.0,8,2,0.2,d-008,16,22,1,6,47248300,47244500
100.0,100.0,300.0,8,2,0.2,a-031,32,23,1,7,47581800,47575000
100.0,100.0,300.0,8,2,0.2,b-031,16,24,1,8,47916100,47924300
100.0,100.0,300.0,8,2,0.2,b-000,48,25,1,1,55574300,55575850
100.0,100.0,300.0,8,2,0.2,d-005,40,26,1,2,55907150,55896050
100.0,100.0,300.0,8,2,0.2,a-028,32,27,1,3,56240400,56247400
100.0,100.0,300.0,8,2,0.2,d-018,16,28,1,4,56573750,56568250
100.0,100.0,300.0,8,2,0.2,a-024,16,29,1,5,56907200,56892750
100.0,100.0,300.0,8,2,0.2,d-000,32,30,1,6,57240300,57240600
100.0,100.0,300.0,8,2,0.2,d-025,8,31,1,7,57573500,57562300
100.0,100.0,300.0,8,2,0.2,a-016,40,32,1,8,57907550,57911350
100.0,100.0,300.0,8,2,0.2,d-010,16,33,1,1,65563650,65566400
100.0,100.0,300.0,8,2,0.2,b-000,32,34,1,2,65896200,65886300
100.0,100.0,300.0,8,2,0.2,b-031,24,35,1,3,66230550,66217000
100.0,100.0,300.0,8,2,0.2,d-005,4,36,1,4,66564600,66558450
100.0,100.0,300.0,8,2,0.2,d-018,4,37,1,5,66897150,66882250
100.0,100.0,300.0,8,2,0.2,a-024,4,38,1,6,67231700,67236750
100.0,100.0,300.0,8,2,0.2,d-000,24,39,1,7,67565900,67556050
100.0,100.0,300.0,8,2,0.2,a-000,8,40,1,8,67897400,67906400
100.0,100.0,300.0,8,2,0.2,d-008,32,41,1,1,75573500,75575600
100.0,100.0,300.0,8,2,0.2,a-028,8,42,1,2,75906700,75897250
100.0,100.0,300.0,8,2,0.2,d-016,48,43,1,3,76239950,76228100
100.0,100.0,300.0,8,2,0.2,a-031,40,44,1,4,76573900,76567200
100.0,100.0,300.0,8,2,0.2,a-022,8,45,1,5,76906750,76894900
100.0,100.0,300.0,8,2,0.2,d-005,32,46,1,6,77239950,77239200
100.0,100.0,300.0,8,2,0.2,d-010,24,47,1,7,77574000,77590500
100.0,100.0,300.0,8,2,0.2,d-018,8,48,1,8,77906750,77917600
100.0,100.0,300.0,8,2,0.2,b-031,8,49,1,1,90956550,90958900
100.0,100.0,300.0,8,2,0.2,a-000,4,50,1,2,91290100,91279150
100.0,100.0,300.0,8,2,0.2,a-028,40,51,1,3,91623200,91630550
100.0,100.0,300.0,8,2,0.2,d-000,40,52,1,4,91956400,91951000
100.0,100.0,300.0,8,2,0.2,b-000,40,53,1,5,92290200,92277500
100.0,100.0,300.0,8,2,0.2,a-022,48,54,1,6,92623550,92622600
100.0,100.0,300.0,8,2,0.2,d-008,48,55,1,7,92956550,92943200
100.0,100.0,300.0,8,2,0.2,a-024,40,56,1,8,93289700,93293750
100.0,100.0,300.0,8,2,0.2,d-016,4,57,1,1,101059050,101075850
100.0,100.0,300.0,8,2,0.2,a-016,24,58,1,2,101392200,101396050
100.0,100.0,300.0,8,2,0.2,a-031,8,59,1,3,101726500,101719400
100.0,100.0,300.0,8,2,0.2,d-025,40,60,1,4,102058550,102068250
100.0,100.0,300.0,8,2,0.2,b-031,48,61,1,5,102393600,102388400
100.0,100.0,300.0,8,2,0.2,b-000,24,62,1,6,102727200,102710850
100.0,100.0,300.0,8,2,0.2,d-005,48,63,1,7,103059850,103060400
100.0,100.0,300.0,8,2,0.2,d-008,24,64,1,8,103395050,103379050
100.0,100.0,300.0,8,2,0.2,a-024,48,65,1,1,111373750,111377550
100.0,100.0,300.0,8,2,0.2,d-016,16,66,1,2,111706100,111696050
100.0,100.0,300.0,8,2,0.2,d-000,16,67,1,3,112039350,112025500
100.0,100.0,300.0,8,2,0.2,a-031,4,68,1,4,112372750,112369050
100.0,100.0,300.0,8,2,0.2,d-025,4,69,1,5,112706350,112701950
100.0,100.0,300.0,8,2,0.2,a-028,48,70,1,6,113039500,113040650
100.0,100.0,300.0,8,2,0.2,d-018,48,71,1,7,113372900,113368850
100.0,100.0,300.0,8,2,0.2,a-022,4,72,1,8,113706000,113717050
100.0,100.0,300.0,8,2,0.2,a-016,48,73,1,1,124977150,124963500
100.0,100.0,300.0,8,2,0.2,d-010,48,74,1,2,125312900,125314750
100.0,100.0,300.0,8,2,0.2,a-000,16,75,1,3,125647400,125638150
100.0,100.0,300.0,8,2,0.2,d-005,16,76,1,4,125979050,125986700
100.0,100.0,300.0,8,2,0.2,d-008,4,77,1,5,126312650,126305950
100.0,100.0,300.0,8,2,0.2,d-025,16,78,1,6,126646100,126631900
100.0,100.0,300.0,8,2,0.2,b-031,40,79,1,7,126979800,126981950
